"Image","Lat","Lon","Date","tags","search_term","year"
22630869179,-12.781756,-41.469962,"2015-10-29 09:10:08","","grassland",2015
22725713513,-19.683856,-45.341187,"2015-09-23 15:59:12","eucalyptus prevention “ project” trees” wood” “l forest” rain” “forest “working “eos system” “wood plantation” charcoal” test” management” education” “vegetable research” forestequipment improvement” “planted “environmental “eucalyptus “canopy height” “forest” canopy” flux” nutrition” “genetic “charcoal” “fauna farmer” footprint” “flora “eddy “bioenergy” “biomass” “arcelormittal” “arcelormittal productivity” “plantation” “fsc” standards” drying” “thining” “seeds” entomology” “insects” bioflorestas” “ipef” “exclusion “techs “clonal “sprouting using” “sampling “agrosilvopasture bioforest” globulus” “techs” “sifufv” “ufv” 6d” invasa” “fatality","forest",2015
22979095023,-14.66906,-40.478343,"2015-12-08 09:06:11","square squareformat iphoneography instagramapp uploaded:by=instagram","grassland",2015
23022301905,-12.771309,-41.446695,"2015-10-28 10:54:58","","grassland",2015
23022768975,-12.775648,-41.464048,"2015-10-28 16:31:23","","grassland",2015
23034223651,-12.73422,-41.490498,"2015-10-29 11:52:17","","grassland",2015
23128703125,-13.566031,-47.298606,"2015-11-15 16:14:06","","grassland",2015
23155619796,-17.2513,-49.2366,"2015-11-21 15:44:24","square squareformat iphoneography instagramapp uploaded:by=instagram","grassland",2015
23221188223,-12.606787,-41.480412,"2014-05-13 09:36:41","brazil palmeiras bahia lençóis chapadadiamantina valedocapão ochnaceae sauvagesiasemicylindrifolia","savanna",2014
23342677330,-17.787006,-43.394442,"2015-11-17 09:37:46","","forest",2015
23496026933,-14.1167,-47.5167,"2016-01-02 08:32:02","square squareformat clarendon iphoneography instagramapp uploaded:by=instagram","grassland",2016
23519895001,-20.000556,-43.859256,"2015-08-25 08:40:00","nova gold lima xl morro velho anglo 640 banqueta oppenheimer lumia","forest",2015
23561541345,-12.671698,-41.484917,"2015-10-31 16:53:17","sunset brasil br palmeiras bahia chapadadiamantina valedocapão geraisdovieira","grassland",2015
23644250623,-8.832112,-42.551417,"2016-01-03 11:17:59","","forest",2016
23671240779,-12.758306,-41.512662,"2014-05-14 08:43:48","brazil bahia chapadadiamantina guin mucuge guiné morrodobeco serradoesbarrancado","cerrado",2014
23689960688,-15.011031,-46.434128,"2017-09-07 15:31:29","minasgerais brasil br comprar comprarfazenda leilaodoagronegocio mapadasemente fazendas soja milho pecuaria gado","landscape",2017
23689966518,-15.021764,-46.402187,"2017-09-07 16:35:03","minasgerais brasil br comprar comprarfazenda leilaodoagronegocio mapadasemente fazendas soja milho pecuaria gado","landscape",2017
23689967908,-15.006264,-46.43337,"2017-09-07 15:26:28","minasgerais brasil br comprar comprarfazenda leilaodoagronegocio mapadasemente fazendas soja milho pecuaria gado","forest",2017
23689996828,-15.009262,-46.393556,"2017-09-07 11:08:32","minasgerais brasil br comprar comprarfazenda leilaodoagronegocio mapadasemente fazendas soja milho pecuaria gado","aerial",2017
23690046758,-15.022389,-46.409328,"2017-09-07 11:49:03","minasgerais brasil br comprar comprarfazenda leilaodoagronegocio mapadasemente fazendas soja milho pecuaria gado","forest",2017
23690056158,-15.05127,-46.399639,"2017-09-07 16:03:12","minasgerais brasil br comprar comprarfazenda leilaodoagronegocio mapadasemente fazendas soja milho pecuaria gado","aerial",2017
23730883362,-12.756184,-41.509531,"2014-05-14 09:13:54","brazil tree native bahia chapadadiamantina wetforest guin mucuge guiné vochysiaceae vochysia disturbedsite morrodobeco serradoesbarrancado","forest",2014
23831303473,-13.967131,-47.483162,"2016-01-15 11:08:27","rain clouds cloudy chuva nuvens nublado chapadadosveadeiros paralelo14","grassland",2016
23849977465,-20.45182,-54.567117,"2015-11-29 17:39:26","","grassland",2015
23858725418,-20.385322,-46.431516,"2017-08-14 08:02:16","serradacanastra minasgerais mg sãojoãobatistadoglória montanha montagna mountain serra cerrado landscape paisagem 100400mm lightroom campo natureza natura nature estrada road caminho strada neblina fog nebbia brasil brazil brasile","forest",2017
23869646368,-15.718178,-48.964015,"2017-10-13 12:49:57","cachoeira trilha pirenópolis cachoeirasdosdragões goiás brasil mosteirozeneishoji cachoeiradodragão waterfall brazil hiking","forest",2017
25678136578,-13.449445,-47.240834,"2018-01-06 15:15:48","teresinadegoiás goiás kalunga rio paranã rioparanã funildoparanã baciadoriotocantins adam carvalho adamcarvalho dji spark djispark","forest",2018
28517710564,-13.017498,-41.344537,"2016-08-04 11:28:21","mucugê","landscape",2016
31247693144,-14.173256,-47.852373,"2016-12-30 13:10:34","chapadadosveadeiros","landscape",2016
31941244722,-14.173256,-47.852373,"2016-12-30 12:39:30","chapadadosveadeiros","grassland",2016
